Dim1	Dim2	Coupe	Value
64	50	1	2.000000
64	51	1	2.000000
64	52	1	2.000000
64	53	1	1.000000
65	31	1	2.000000
65	32	1	1.000000
65	33	1	1.000000
65	38	1	1.000000
65	39	1	2.000000
65	40	1	2.000000
65	41	1	2.000000
65	42	1	2.000000
65	43	1	2.000000
65	44	1	1.000000
65	45	1	2.000000
65	46	1	2.000000
65	47	1	2.000000
65	48	1	2.000000
65	49	1	2.000000
65	50	1	2.000000
65	51	1	2.000000
65	52	1	2.000000
66	33	1	2.000000
66	34	1	1.000000
66	35	1	1.000000
66	40	1	1.000000
66	41	1	1.000000
66	42	1	1.000000
66	43	1	1.000000
66	44	1	1.000000
66	45	1	2.000000
66	46	1	2.000000
66	47	1	2.000000
66	48	1	2.000000
66	49	1	2.000000
66	50	1	2.000000
66	51	1	2.000000
66	52	1	2.000000
66	53	1	1.000000
67	38	1	1.000000
67	39	1	2.000000
67	40	1	2.000000
67	41	1	2.000000
67	42	1	2.000000
67	43	1	2.000000
67	44	1	1.000000
67	45	1	2.000000
67	46	1	2.000000
67	47	1	2.000000
67	48	1	2.000000
67	49	1	2.000000
67	50	1	2.000000
67	51	1	2.000000
67	52	1	1.000000
68	37	1	1.000000
68	38	1	2.000000
68	39	1	2.000000
68	40	1	2.000000
68	41	1	2.000000
68	42	1	2.000000
68	43	1	2.000000
68	44	1	2.000000
68	45	1	2.000000
68	46	1	2.000000
68	47	1	2.000000
68	48	1	2.000000
68	49	1	2.000000
68	50	1	2.000000
68	51	1	2.000000
69	34	1	1.000000
69	35	1	1.000000
69	36	1	1.000000
69	37	1	2.000000
69	38	1	2.000000
69	39	1	2.000000
69	40	1	2.000000
69	41	1	2.000000
69	42	1	2.000000
69	43	1	2.000000
69	44	1	2.000000
69	45	1	2.000000
69	46	1	2.000000
69	47	1	2.000000
69	48	1	2.000000
69	49	1	2.000000
69	50	1	1.000000
69	51	1	1.000000
69	52	1	1.000000
69	53	1	1.000000
70	31	1	2.000000
70	32	1	2.000000
70	33	1	2.000000
70	34	1	2.000000
70	35	1	2.000000
70	36	1	1.000000
70	37	1	2.000000
70	38	1	2.000000
70	39	1	2.000000
70	40	1	2.000000
70	41	1	2.000000
70	42	1	2.000000
70	43	1	2.000000
70	44	1	2.000000
70	45	1	2.000000
70	46	1	2.000000
70	47	1	2.000000
70	48	1	1.000000
70	52	1	2.000000
70	53	1	2.000000
71	30	1	1.000000
71	31	1	2.000000
71	32	1	2.000000
71	33	1	2.000000
71	34	1	2.000000
71	35	1	2.000000
71	36	1	2.000000
71	37	1	2.000000
71	38	1	2.000000
71	39	1	2.000000
71	40	1	2.000000
71	41	1	2.000000
71	42	1	2.000000
71	43	1	2.000000
71	44	1	2.000000
71	45	1	2.000000
71	46	1	2.000000
71	47	1	2.000000
71	48	1	1.000000
71	52	1	1.000000
72	30	1	1.000000
72	31	1	2.000000
72	32	1	2.000000
72	33	1	2.000000
72	34	1	2.000000
72	35	1	2.000000
72	36	1	2.000000
72	37	1	2.000000
72	38	1	2.000000
72	39	1	2.000000
72	40	1	2.000000
72	41	1	2.000000
72	42	1	2.000000
72	43	1	2.000000
72	44	1	2.000000
72	45	1	2.000000
72	46	1	2.000000
72	47	1	2.000000
72	48	1	1.000000
72	50	1	1.000000
73	30	1	1.000000
73	31	1	2.000000
73	32	1	2.000000
73	33	1	2.000000
73	34	1	2.000000
73	35	1	2.000000
73	36	1	2.000000
73	37	1	2.000000
73	38	1	2.000000
73	39	1	2.000000
73	40	1	2.000000
73	41	1	2.000000
73	42	1	2.000000
73	43	1	2.000000
73	44	1	2.000000
73	45	1	2.000000
73	46	1	2.000000
73	47	1	2.000000
73	48	1	2.000000
73	49	1	1.000000
74	29	1	1.000000
74	30	1	1.000000
74	31	1	1.000000
74	32	1	2.000000
74	33	1	2.000000
74	34	1	2.000000
74	35	1	2.000000
74	36	1	2.000000
74	37	1	2.000000
74	38	1	2.000000
74	39	1	2.000000
74	40	1	2.000000
74	41	1	2.000000
74	42	1	2.000000
74	43	1	2.000000
74	44	1	2.000000
74	45	1	2.000000
74	46	1	2.000000
74	47	1	1.000000
74	48	1	1.000000
74	49	1	1.000000
75	31	1	1.000000
75	32	1	2.000000
75	33	1	2.000000
75	34	1	2.000000
75	35	1	2.000000
75	36	1	2.000000
75	37	1	2.000000
75	38	1	2.000000
75	39	1	2.000000
75	40	1	2.000000
75	41	1	2.000000
75	42	1	2.000000
75	43	1	2.000000
75	44	1	2.000000
75	45	1	2.000000
75	46	1	2.000000
75	47	1	1.000000
75	51	1	1.000000
76	31	1	1.000000
76	32	1	1.000000
76	33	1	2.000000
76	34	1	2.000000
76	35	1	2.000000
