tmax	ymax	d	a
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
23.249656	9.474683	0.000008	43.942466	
7.264438	5.310630	15.234545	3.537793	
3.088452	4.133385	18.861596	2.073455	
6.214943	8.658706	16.172522	5.242181	
9.885150	12.641061	12.636879	11.035515	
9.667970	13.526438	14.112307	6.986025	
25.002012	10.005884	0.000001	45.543934	
25.359392	11.675456	0.000001	44.061664	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
3.572731	9.243707	17.707771	1.291783	
7.979616	6.347564	14.320579	6.298087	
9.844480	10.893713	12.740199	5.674082	
23.001479	7.504169	0.000082	38.269133	
21.184351	4.877754	1.207737	99.999306	
6.773854	7.150181	16.017533	4.148126	
3.573522	9.933069	19.250678	0.891609	
0.381926	15.067660	20.999617	0.054272	
8.146734	9.107674	15.479586	4.928283	
9.105716	10.928088	15.845958	4.824217	
7.426995	11.116413	18.035292	2.906309	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
9.463286	2.278363	11.708176	0.434217	
6.975315	1.576250	4.778247	0.209889	
1.077605	7.798134	18.985357	0.102496	
4.983857	13.164942	17.266337	1.932933	
4.470939	7.154743	17.261765	2.685617	
3.901834	3.008255	17.556184	1.166915	
5.146667	4.597973	17.676682	1.614300	
4.399909	5.422999	18.430789	1.212098	
4.834638	7.367687	17.722970	1.083205	
4.357418	8.585824	18.539933	0.969789	
3.835998	12.010118	19.704560	0.738365	
5.259585	16.360535	19.098393	1.520396	
4.527167	18.906956	19.104298	1.157215	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
23.995829	5.512123	0.000001	90.946748	
2.805746	9.079151	19.736687	0.397176	
4.028648	11.702574	18.405248	0.763170	
4.098396	7.809879	17.870712	1.122165	
2.295573	3.499571	19.568210	0.599894	
3.692714	3.754241	18.420060	0.706825	
2.293739	6.715934	18.699947	0.410632	
4.480087	8.819986	17.920547	1.109732	
5.308583	9.589631	17.855387	1.912963	
4.837028	12.085259	18.395945	1.378722	
5.493993	16.557505	18.135572	1.440127	
1.044105	17.083572	19.996357	0.141862	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
199.545291	6.121013	6.534432	0.453586	
18.401956	7.514413	6.147174	37.511492	
5.308232	9.164364	18.029023	2.655925	
2.677979	6.039734	18.888042	0.466896	
3.209148	10.530263	18.711074	0.470469	
12.398758	8.950193	10.375328	10.933345	
3.997145	7.574795	17.822616	1.502134	
2.377970	8.675591	18.666673	0.495433	
4.540753	7.081729	17.388762	1.564129	
5.197093	8.081619	17.804569	2.187376	
4.577753	11.299146	18.664040	0.962876	
3.373774	17.193387	19.780191	0.675244	
3.903956	16.317440	19.474322	0.769330	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
4.012739	3.896804	16.951505	0.221956	
3.276273	4.255338	17.966833	1.058422	
6.134742	6.997635	16.913587	3.777652	
4.751310	6.971710	18.444389	2.446981	
5.161684	15.666607	18.276136	1.711638	
3.876205	10.719763	18.512181	1.144975	
2.323165	6.642223	19.399163	0.935509	
5.494261	7.129728	16.239643	2.180652	
13.026418	4.812350	8.975762	8.385535	
14.007548	4.957803	10.070495	15.916307	
6.814672	7.881965	17.106663	2.854234	
5.440979	8.552137	18.296185	1.036789	
4.562501	7.668894	18.558071	1.126959	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
13.154082	0.480464	6.000003	0.001041	
10.979077	7.942635	12.302050	13.149107	
1.358291	10.436177	19.996257	0.132593	
4.116361	12.079296	18.699509	0.900389	
2.088409	4.920446	18.836981	0.415499	
5.668225	6.206508	16.169819	2.018305	
8.705516	9.352527	13.628785	9.258250	
7.527862	8.509274	14.055165	8.270671	
18.165762	0.479337	11.000023	0.001969	
6.399150	7.127120	16.748902	3.904021	
4.821027	7.618784	17.830912	1.824085	
13.826011	9.346246	10.132342	16.251603	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
5.491333	23.096851	16.296500	2.878783	
3.822537	13.843149	18.822281	0.635678	
3.032602	10.673357	19.812860	0.384328	
23.177888	6.155728	0.000014	30.026827	
8.177723	4.955367	14.275753	7.024550	
4.806838	8.473186	17.291431	2.939474	
5.267453	13.189998	16.329016	3.157950	
18.679662	9.929326	3.720877	28.673703	
23.365099	5.676114	0.000011	57.571644	
22.735916	5.105062	0.000007	79.150329	
13.178334	2.506368	13.000000	0.121638	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
8.352326	14.459755	13.567740	6.888905	
6.856289	16.990785	15.611309	3.247802	
3.207048	15.563848	18.907945	0.475194	
7.846212	7.195409	15.384752	5.290256	
21.714287	2.867007	0.000169	53.164787	
3.278355	9.198591	17.834503	1.618225	
4.531162	9.036382	17.037538	3.167058	
13.143430	11.902339	9.157340	18.288895	
20.448746	3.957394	0.000000	5.953259	
9.080408	3.577679	6.999994	0.557775	
0.107757	9.880235	19.000000	0.012261	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
11.725220	2.125859	18.000000	0.064334	
0.190540	3.960922	19.000000	0.016154	
6.313325	14.375487	15.829449	4.273385	
2.973513	18.046364	18.668037	0.448677	
2.951742	7.504130	18.992254	0.191661	
15.500201	1.737123	0.000000	2.232571	
13.395655	0.537948	6.000001	0.000472	
21.918334	4.548191	0.001310	82.189201	
3.637845	13.505261	17.421916	2.212545	
6.163070	11.860857	15.665857	4.301687	
18.019340	5.893178	4.693595	35.997410	
20.437897	5.329621	0.000000	5.406237	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
4.411554	0.938140	8.000023	0.001101	
22.951752	4.550704	0.000000	6.104406	
5.165423	22.063834	17.405849	2.296023	
4.604343	23.080279	17.648803	1.630873	
1.101616	7.200206	18.999821	0.246452	
19.024367	2.451178	0.000001	3.799713	
13.077118	11.580800	9.966007	13.383600	
17.879859	17.400089	4.825446	28.960694	
30.536781	1.789726	0.000000	1.132458	
0.292725	4.937123	19.000000	0.024173	
7.093275	17.398782	17.514719	3.307703	
7.716451	9.719648	16.957961	4.116104	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
48.033388	0.264596	0.000000	1.679344	
10.895208	9.096049	12.568907	12.492151	
6.090687	25.926217	16.697445	3.782270	
7.184970	25.880213	15.296689	4.344845	
8.068555	17.599032	13.852824	7.148200	
0.158240	9.398347	19.000000	0.025383	
4.336820	11.704118	17.427196	1.825645	
8.714509	16.206818	13.369359	8.229893	
0.349942	6.541251	18.000000	0.034465	
12.441505	1.692822	16.000002	0.002016	
3.942492	10.885927	18.850461	1.217110	
7.772974	9.630524	16.229415	4.248690	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
3.375852	18.260676	18.846168	0.834326	
8.597344	16.475136	13.622757	7.017119	
8.698049	17.162911	13.920333	5.545819	
5.532876	11.249343	16.348869	2.891167	
3.251926	16.948774	17.719613	1.247731	
4.803284	8.837431	17.237921	2.972067	
4.511041	2.943128	17.974173	4.288265	
17.208570	1.610920	0.000000	2.160471	
3.775818	9.584200	17.984922	0.878950	
7.858007	13.457398	15.732854	3.000339	
9.843936	6.398925	13.272498	5.380213	
4.302702	14.570510	17.270792	1.597987	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
1.623767	12.107010	20.910442	0.335317	
5.255125	14.154653	15.916937	3.184603	
4.104332	22.307859	17.241310	1.866318	
3.408339	10.759869	18.073851	1.148115	
7.756096	12.632883	14.161502	6.268618	
6.493201	18.300535	15.153936	4.755785	
2.111982	13.981428	19.295156	0.732382	
9.884607	7.681290	12.438514	5.115822	
5.922854	4.367389	17.296760	1.670402	
20.245974	5.913528	0.000000	2.423096	
8.591885	9.907716	13.672211	5.434808	
22.647248	8.689162	0.000020	41.571231	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
4.763733	13.726889	18.832458	0.802847	
22.414006	9.245563	0.000010	55.866885	
9.192400	17.517091	12.621221	8.013572	
4.869052	11.407475	17.198109	2.236472	
23.101817	6.524449	0.000017	59.884662	
9.267513	9.023895	13.707882	7.379842	
4.781678	8.485351	16.958321	2.362583	
1.461371	9.862567	17.994193	0.265334	
3.019582	8.100900	18.254622	0.843604	
5.279501	9.190239	17.074507	2.228847	
22.838766	8.749267	0.000005	45.758479	
19.106630	8.740808	10.000000	0.000000	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
0.141814	11.811514	20.000000	0.012460	
12.945767	0.525456	6.000312	0.000066	
8.435201	22.262867	13.378205	5.120739	
6.748720	19.359146	15.244001	3.127102	
3.108965	6.522280	18.428608	1.131665	
5.027356	4.529109	17.282423	2.229384	
5.136066	8.173737	16.901059	2.125529	
2.804763	11.525880	18.491335	0.610415	
5.898767	8.438154	15.843112	4.435083	
3.923373	9.672642	17.448747	1.963139	
19.709051	23.585829	3.144504	23.762074	
11.119043	26.326884	12.115192	10.876904	
8.274558	46.749725	14.302382	4.391517	
5.553053	25.153225	16.741642	2.007287	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
0.640520	12.680239	19.000000	0.026197	
13.697535	10.299182	9.131732	14.506692	
5.376113	18.791006	17.199512	2.101658	
5.441304	14.483456	16.693690	2.232990	
4.870432	4.776879	16.296393	3.974512	
1.480976	5.368000	20.637886	0.447447	
7.821458	8.666161	14.411972	4.191481	
4.112601	9.349416	17.199577	2.429318	
4.856681	8.971253	16.994013	3.867515	
5.236231	26.068973	16.378583	1.343573	
25.023594	23.229740	0.000001	58.767709	
24.664565	30.068384	0.000001	52.589472	
11.962839	6.955512	14.433696	0.000000	
350.593113	4.671745	9.674161	0.160235	
1207.707196	7.706937	10.000000	0.009953	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
0.247662	29.498247	21.000000	0.013512	
1.840089	21.145035	19.831911	0.230130	
5.091350	10.589050	17.998237	1.816217	
3.222439	3.712807	18.776450	1.819266	
7.377239	5.647628	14.651201	6.977161	
6.562162	8.184169	15.631426	6.475672	
22.741503	8.731231	0.000043	36.327030	
3.041752	5.909347	18.975654	0.410825	
0.200749	21.534148	19.000000	0.013946	
22.948733	18.948210	0.000000	28.100011	
6.960096	8.479435	17.607115	7.843057	
24.054291	23.361200	0.000001	34.908251	
2.561949	10.173603	16.996829	0.114831	
217.544573	5.190700	11.000000	0.009202	
1589.224371	8.696373	5.000000	0.005415	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
1.917022	48.942649	19.978116	0.193147	
2.289912	14.717692	19.857949	0.229814	
5.328473	6.584343	16.273570	1.132106	
2.218993	6.751680	18.980200	0.654965	
2.182055	5.766224	19.000030	0.593031	
5.462556	0.096802	4.989552	0.000000	
5.706382	14.199648	16.037124	3.203257	
0.210836	12.563681	19.000000	0.013797	
1.677191	9.232334	16.999348	0.084644	
21.566504	1.895982	1.282720	99.999959	
0.327756	4.828768	19.000000	0.033157	
9.703652	6.353388	14.401865	0.674087	
3.413207	9.517848	18.906270	0.316083	
22.577478	11.190550	0.000000	28.475280	
5.518567	7.036594	13.000000	0.020739	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
6.437391	26.200313	16.847732	4.012054	
7.613829	35.017994	15.170827	3.987974	
5.088333	17.294615	17.333801	1.474156	
2.280906	5.559497	18.887116	0.961063	
5.923926	1.839144	16.000000	0.047868	
3.463942	10.378123	18.261779	1.440907	
3.923284	26.351567	17.072239	1.411650	
6.428527	24.595143	15.136876	4.225674	
16.331333	0.028327	5.000024	0.000086	
1.040828	5.090659	18.997797	0.138044	
2.449852	2.715868	21.999858	0.167022	
6.357212	3.657462	17.429657	1.081157	
7.466460	7.156688	15.213707	4.619410	
19.387795	4.975044	7.964210	26.021635	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
11.635986	18.795275	11.601171	10.938190	
6.016990	22.451827	16.545206	3.153962	
4.531993	19.236116	17.272832	2.021574	
4.758293	16.479786	16.952300	2.917405	
5.130652	41.529967	16.047145	2.770538	
5.521258	38.638061	15.728876	3.088645	
3.577167	16.054634	17.724742	0.987908	
15.505724	3.368822	8.034916	13.435635	
20.481321	2.436254	5.193255	99.999988	
2.651085	4.250118	18.763282	0.450198	
12.160923	4.108223	2.997923	0.259383	
6.159798	6.370361	18.710781	0.611860	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
0.110127	13.498271	20.000000	0.013633	
1.505860	4.607334	20.772750	0.489272	
5.449054	7.549577	17.170674	3.049573	
2.990017	15.400437	18.444416	0.590800	
22.232702	24.698063	0.000000	36.719930	
7.361836	12.092331	15.412594	5.039607	
18.100653	4.406627	4.629953	1.575667	
35.635415	3.151549	0.000000	3.263880	
5.816606	1.869343	16.704944	0.557499	
4.958514	3.075491	18.486333	1.965005	
1.412096	3.598485	19.221161	0.238103	
5.393895	4.010209	17.178769	1.021712	
6.834311	3.669510	15.898706	2.230803	
27.252851	4.818504	0.000007	29.379128	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
4.882907	4.034795	18.785875	2.151312	
26.125645	0.283333	3.137506	99.999826	
2.091890	0.713419	23.000000	0.186708	
18.532181	6.665002	13.000000	0.136003	
15.516267	7.417780	13.000000	0.000119	
3.544856	14.374403	17.824594	0.313325	
4.453791	5.308793	20.593925	0.728330	
7.086261	3.856127	18.486361	1.327085	
11.944086	2.397457	10.986971	0.616957	
1.614817	0.191177	23.000030	0.319522	
5.936529	3.223194	16.309209	1.093073	
1.565489	4.206906	19.950191	0.384395	
3.403326	9.478426	18.828918	0.735963	
5.243844	8.999901	18.778318	0.823443	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
7.606412	3.454598	17.217500	6.679161	
6.263378	5.549913	18.180159	3.903459	
8.048193	6.189044	15.657735	4.115802	
3.675544	5.555147	18.516667	0.566919	
8.881511	6.361376	13.691719	0.516345	
475.670422	9.554388	9.000000	0.007345	
31.429371	6.490921	0.000000	1.186271	
6.441377	3.654309	17.651712	1.470760	
21.053889	3.396674	3.245926	23.732544	
2.034005	1.375743	18.920334	0.254383	
2.312525	1.696028	21.000000	0.549221	
738.315465	5.517268	19.000000	0.012093	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
1.361112	4.798748	18.988064	0.177107	
6.563125	4.416860	16.462087	0.598757	
22.608632	3.048218	0.000000	5.330579	
20.240104	3.912773	0.000000	3.685614	
10.819900	3.824715	4.892474	0.436838	
2.208725	4.689202	6.000000	0.016624	
35.535127	2.962149	0.000000	4.134413	
34.087303	0.470392	2.390192	99.999981	
10.086073	3.056596	14.204567	1.749409	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
5.566657	17.239263	17.120919	2.200746	
2.760721	11.922440	19.253870	0.602221	
4.755249	4.632760	16.688996	0.584718	
3.825727	1.048703	11.003997	0.000156	
4.132889	8.177388	17.076075	1.695501	
23.444635	3.963065	0.000002	34.300050	
1.937731	3.648847	18.998499	0.408184	
4.009857	7.641750	18.098565	1.395522	
12.582415	4.467133	9.735234	0.592246	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
6.467122	21.341053	16.489569	4.200909	
2.935710	11.795246	18.908412	0.369529	
0.620423	6.644927	19.997801	0.035782	
2.782456	5.594090	19.441774	0.548968	
3.689289	6.894652	18.169370	1.132654	
6.045136	8.697942	16.242552	3.268728	
6.013356	12.312370	15.895549	3.149118	
4.372896	20.233668	17.160468	1.581274	
25.606330	10.354378	0.000010	42.837921	
25.666712	19.990653	0.000000	63.282757	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
NaN	NaN	NaN	NaN	
